Provinces,Code,Territoire,Zone de sante
Kinshasa,CD10,Kinshasa,Bandalungwa
Kinshasa,CD10,Kinshasa,Barumbu
Kinshasa,CD10,Kinshasa,Binza Meteo
Kinshasa,CD10,Kinshasa,Binza Ozone
Kinshasa,CD10,Kinshasa,Biyela
Kinshasa,CD10,Kinshasa,Bumbu
Kinshasa,CD10,Kinshasa,Gombe
Kinshasa,CD10,Kinshasa,Kalamu I
Kinshasa,CD10,Kinshasa,Kalamu II
Kinshasa,CD10,Kinshasa,Kasa-Vubu
Kinshasa,CD10,Kinshasa,Kikimi
Kinshasa,CD10,Kinshasa,Kimbanseke
Kinshasa,CD10,Kinshasa,Kingabwa
Kinshasa,CD10,Kinshasa,Kingasani
Kinshasa,CD10,Kinshasa,Kinshasa
Kinshasa,CD10,Kinshasa,Kintambo
Kinshasa,CD10,Kinshasa,Kisenso
Kinshasa,CD10,Kinshasa,Kokolo
Kinshasa,CD10,Kinshasa,Lemba
Kinshasa,CD10,Kinshasa,Limete
Kinshasa,CD10,Kinshasa,Lingwala
Kinshasa,CD10,Kinshasa,Makala
Kinshasa,CD10,Kinshasa,Maluku I
Kinshasa,CD10,Kinshasa,Maluku II
Kinshasa,CD10,Kinshasa,Masina I
Kinshasa,CD10,Kinshasa,Masina II
Kinshasa,CD10,Kinshasa,Matete
Kinshasa,CD10,Kinshasa,Mont Ngafula I
Kinshasa,CD10,Kinshasa,Mont Ngafula II
Kinshasa,CD10,Kinshasa,Ndjili
Kinshasa,CD10,Kinshasa,Ngaba
Kinshasa,CD10,Kinshasa,Ngiri-Ngiri
Kinshasa,CD10,Kinshasa,Nsele
Kinshasa,CD10,Kinshasa,Police
Kinshasa,CD10,Kinshasa,Selembao
Kongo-Central,CD20,Matadi,Matadi
Kongo-Central,CD20,Matadi,Nzanza
Kongo-Central,CD20,Boma,Boma
Kongo-Central,CD20,Moanda,Boma Bungu
Kongo-Central,CD20,Moanda,Kitona
Kongo-Central,CD20,Moanda,Moanda
Kongo-Central,CD20,Lukula,Kangu
Kongo-Central,CD20,Lukula,Lukula
Kongo-Central,CD20,Tshela,Kinkonzi
Kongo-Central,CD20,Tshela,Kizu
Kongo-Central,CD20,Tshela,Kuimba
